단어          원형성   친숙성   쾌-불쾌   활성화
놀랍다            4.77   5.58   4.35   5.61
무감동하다          2.97   3.83   3.17   2.12
눈물겹다           4.43   5.24   3.18   4.02
무덤덤하다          4.16   4.66   3.57   2.62
뉘우치다           4.59   5.34   3.70   3.57
무력감            3.87   4.28   2.19   2.11
달가워하다          4.40   4.18   4.63   3.99
무료하다           4.05   4.55   2.89   2.23
담담하다           4.32   4.81   3.53   2.70
무색하다           3.50   4.10   2.98   2.79
답답하다*          4.73   5.54   2.20   3.64
무섭다*           5.06   5.82   2.58   5.39
당혹하다           4.17   4.53   2.94   4.90
무시무시하다         4.03   4.82   2.54   5.16
당황하다           4.46   5.55   3.07   4.83
무안하다*          4.60   5.38   2.91   3.69
덤덤하다*          4.43   4.71   3.76   2.59
뭉클하다           4.71   4.50   4.48   4.15
도취하다           4.24   4.37   5.10   4.94
미안하다*          5.02   5.97   2.91   4.01
동감하다           4.97   5.04   5.33   4.19
민망하다           4.50   5.26   2.85   4.39
동경하다           4.31   4.40   4.81   3.73
밉다             4.86   5.62   2.25   5.04
동병상련           3.85   4.46   3.85   3.74
박진감            3.97   4.29   4.94   5.41
동요하다           3.92   4.46   3.42   4.42
반감             4.24   4.66   2.17   5.48
동정하다           4.65   5.35   3.45   3.22
반갑다*           5.86   6.14   5.91   5.29
두렵다            4.75   5.40   2.43   5.32
반하다*           4.78   5.18   4.94   4.63
들뜨다            5.03   5.16   4.98   5.24
반항심            3.83   4.92   2.58   5.45
따분하다           4.53   5.34   2.77   2.59
발끈하다           4.28   4.38   2.57   5.54
딱하다            3.94   4.29   2.99   3.98
배신감*           4.00   4.93   1.73   5.72
번뇌하다           3.11   3.59   2.83   3.68
서러워하다          4.62   5.37   2.41   4.05
번민하다           3.60   3.82   2.48   3.47
서럽다*           4.96   5.22   2.51   4.32
보람차다*          4.90   5.36   5.69   4.66
서먹하다*          4.16   4.93   2.67   3.61
부끄럽다*          4.97   5.63   2.82   4.68
서운하다           4.69   5.76   2.84   3.18
부럽다*           5.23   5.77   4.00   4.37
선뜩하다           3.19   3.11   2.89   4.69
부아             2.89   2.87   2.28   4.88
선호하다           4.18   4.96   4.83   4.38
분개하다           4.12   4.11   2.22   5.63
설레다*           5.52   5.29   5.21   5.26
분노하다           4.76   5.13   1.84   6.17
설워하다           3.29   3.22   2.57   4.04
분통             3.66   3.95   1.93   5.51
섬뜩하다           4.45   4.52   2.17   5.42
분하다            4.59   5.06   2.22   5.41
섭섭하다           4.90   5.74   2.47   3.83
불만             4.40   5.40   2.47   4.93
성나다            4.30   4.92   2.33   6.10
불만족하다          3.80   4.52   2.38   3.99
성내다            4.36   4.92   2.75   5.86
불쌍하다           4.74   5.74   2.97   3.33
성취감            4.52   5.00   5.84   5.50
불안하다*          4.69   5.75   2.51   4.88
소름끼치다          4.64   5.18   2.35   5.85
불쾌하다           4.74   5.48   2.13   5.46
소외감            3.90   4.89   2.16   3.00
불편하다*          4.27   5.61   2.53   4.45
속상하다*          4.67   5.70   2.32   4.48
불행하다*          4.36   5.52   2.16   4.19
속시원하다          5.20   5.40   5.43   4.15
비련             3.51   3.73   2.75   3.58
속타다*           4.40   4.76   2.50   4.92
비분강개하다         3.29   2.77   2.80   5.67
송구하다           3.09   3.28   3.06   3.66
비애             3.66   3.97   2.71   4.41
송연하다           2.52   1.90   3.32   3.07
비장하다*          4.22   4.23   3.36   5.22
수심             3.14   2.91   2.59   3.41
비참하다*          4.52   5.18   1.91   4.39
수치             4.01   4.41   2.16   4.76
비탄하다           3.49   2.92   2.12   5.03
숙연하다           3.48   3.63   3.60   2.94
비통하다           3.70   3.49   1.80   5.10
순정             4.10   4.68   5.01   3.28
뼈아프다           3.49   3.74   2.24   5.16
스산하다           3.07   3.02   2.85   3.72
뾰로통하다          3.72   3.73   2.71   3.75
슬프다*           5.08   5.85   2.69   3.44
뿌듯하다*          5.31   5.31   5.75   4.63
시기하다           4.08   4.79   2.53   4.61
사랑스럽다*         5.77   6.12   6.09   4.52
시름겹다           2.52   2.81   2.40   3.17
사모하다           4.45   4.47   5.11   4.38
시무룩하다          4.27   4.92   2.70   2.63
사무치다*          4.12   4.26   2.49   4.81
시원섭섭하다         4.71   4.96   3.89   3.61
살맛나다           4.61   4.92   5.75   5.16
시큰둥하다          4.12   4.73   2.88   3.15
상실감*           4.18   4.34   2.29   3.15
식상하다           4.03   4.61   2.98   3.11
상심하다           3.90   4.37   2.28   3.52
신경질            4.24   5.23   2.09   5.51
상쾌하다           5.50   5.85   5.99   5.16
신나다            5.80   5.76   5.96   5.89
상큼하다*          4.95   5.08   5.61   4.32
신명나다           4.70   4.15   5.61   5.36
샐쭉하다           3.21   2.64   2.83   3.37
신물나다           3.72   4.35   2.20   3.93
샘내다*           4.62   4.92   2.75   4.98
신바람나다          5.18   4.87   5.72   5.70
서글프다           4.72   4.98   2.33   3.81
실망하다*          4.64   5.66   2.19   3.30
실의             3.24   3.54   2.31   3.60
애잔하다           3.87   3.39   3.44   3.02
싫다*            5.03   5.68   2.24   4.76
애정             4.61   5.46   5.33   4.32
싫증나다*          4.45   5.66   2.45   3.94
애증             3.29   3.48   2.72   3.94
심드렁하다          3.19   2.71   2.80   3.32
애지중지하다         4.25   4.50   4.82   4.44
심란하다*          4.65   5.17   2.59   4.01
애착             3.73   4.47   4.21   4.54
심려하다           3.25   3.66   2.76   3.76
애처럽다           3.88   4.01   3.01   3.66
심심하다           4.43   5.76   3.31   2.66
애타다            4.40   4.64   2.45   5.07
심통             3.59   3.82   3.42   4.67
애통하다           3.87   3.90   2.07   4.83
싱숭생숭하다         4.14   4.93   3.09   3.37
애틋하다*          4.81   4.66   4.41   4.16
쑥스럽다           4.61   5.45   3.44   3.56
애환             3.50   3.59   2.99   3.81
쓸쓸하다           4.84   5.41   2.54   2.80
야속하다           3.79   4.40   2.36   4.56
씁쓸하다           4.35   4.74   2.64   3.08
약오르다*          4.42   5.39   2.62   5.01
아니꼽다           4.24   4.67   2.21   4.28
얄밉다            4.91   5.47   2.28   4.99
아련하다           4.32   4.13   4.03   3.11
어이없다           4.11   5.18   2.89   3.82
아리다            3.45   3.15   3.36   3.72
어처구니없다         4.37   5.18   2.69   4.05
아쉽다*           5.20   5.84   3.07   3.56
억울하다*          4.77   5.42   1.90   4.41
아슬아슬하다         3.95   5.13   3.31   5.20
언짢다            4.22   4.63   2.50   4.13
아연실색하다         3.50   3.34   2.65   4.75
여한             3.18   3.13   3.15   3.63
아연하다           2.99   2.54   2.90   3.24
역겹다*           4.68   4.92   1.67   5.13
아찔하다           4.24   4.85   2.51   5.61
역정             3.34   3.72   3.02   5.18
안달복달하다         3.40   3.68   2.75   5.61
연모하다           3.68   3.48   4.45   4.07
안달하다           3.81   4.21   2.52   4.93
연민             4.39   4.48   3.86   3.34
안도하다           4.59   4.67   4.78   2.01
연연하다           3.27   3.87   3.00   3.48
안락하다           4.56   4.50   5.41   1.90
연정             3.97   4.05   4.92   3.63
안심             4.45   5.03   5.00   2.39
열광하다*          4.87   4.61   5.52   6.66
안쓰럽다           4.61   5.10   2.97   3.34
열등감*           4.04   5.03   1.86   4.86
안정되다           4.81   5.50   5.11   2.31
열애             3.88   4.25   5.07   5.73
안타깝다*          4.82   5.56   2.95   3.52
열정             4.79   5.18   5.51   5.74
암담하다           4.18   4.53   1.79   3.33
염려하다           4.15   4.96   2.76   3.95
암울하다           3.81   4.38   1.98   3.31
영광스럽다          5.00   5.02   5.99   5.20
애              3.35   3.48   4.63   3.99
영예롭다           3.87   3.89   5.26   4.62
애끓다            4.02   3.82   2.94   5.33
온정             4.01   4.02   5.11   3.09
애달프다           4.21   4.17   2.95   4.02
외롭다*           5.02   5.66   2.28   2.76
애닯다            3.68   3.56   3.14   3.88
우려하다           3.69   4.51   2.59   3.95
애도하다           3.74   4.16   2.96   3.32
우수             3.69   3.77   4.28   3.38
애련             3.50   3.38   3.49   4.01
우습다*           4.46   5.71   3.72   4.44
애석하다           3.91   4.26   2.67   3.78
우울하다*          4.94   5.81   2.49   2.80
애수             3.71   3.63   3.93   3.69
우쭐하다           4.02   4.39   3.46   4.27
울분             3.97   4.13   2.37   5.74
정답다            5.01   5.15   5.32   3.97
울적하다           4.31   4.55   2.56   2.63
정욕             3.56   4.09   3.72   5.91
울화             3.40   3.92   1.87   5.51
정한             3.03   2.43   3.35   3.79
울화통            3.75   4.14   1.29   5.93
조마조마하다         4.57   4.92   2.96   5.28
원망하다           4.40   5.24   1.86   4.63
조바심            4.04   4.24   2.80   5.21
원통하다           4.05   4.15   1.85   5.22
좋다*            5.90   6.12   5.54   5.13
원한             3.72   4.36   1.87   5.61
좌절하다           3.82   5.01   1.87   3.70
위압감            3.62   4.08   2.32   4.98
죄송스럽다          4.44   5.56   2.68   3.89
위축감            3.32   3.73   2.55   3.67
죄스럽다           3.66   3.71   2.20   3.94
위화감            3.38   3.92   2.65   4.56
죄의식            3.45   4.42   2.03   4.12
유감             4.11   4.79   2.72   4.16
죄책감*           4.08   4.83   2.13   4.07
유쾌하다*          5.13   5.51   5.58   5.37
주눅들다*          4.18   4.60   2.30   2.79
음울하다           3.25   3.34   2.07   3.08
즐겁다*           5.87   6.09   5.89   5.54
의기소침하다         4.11   4.60   2.51   2.79
즐기다            4.72   5.93   5.57   5.14
의기양양하다         4.66   4.74   4.92   5.24
증오하다*          4.54   5.18   1.75   5.85
의분             2.84   2.54   3.38   4.39
지겹다*           4.76   5.61   2.51   3.20
의심*            4.10   5.03   2.33   4.30
지긋지긋하다         4.33   5.12   2.10   4.05
의아하다           3.31   3.45   3.30   4.10
지루하다           4.72   5.56   2.64   2.14
의혹             3.34   4.41   2.72   4.51
지리하다           3.18   3.14   2.91   3.07
이뻐하다           4.73   5.53   5.42   4.29
진노하다           3.06   3.21   1.97   5.36
자괴             3.03   2.84   2.27   3.82
진저리나다          3.94   4.41   2.07   4.67
자긍             3.94   3.97   5.37   4.48
질겁하다           3.45   3.74   2.45   5.41
자기혐오           3.18   3.71   1.89   4.80
질리다            4.36   5.03   2.29   3.94
자랑스럽다*         5.06   5.55   5.72   4.98
질색하다           3.73   4.34   2.23   5.07
자만심            4.03   4.88   2.67   4.75
질투하다           4.47   5.38   2.58   5.25
자부하다           4.13   4.57   5.02   4.02
짜증내다           4.73   5.87   2.06   4.88
자신만만하다         4.97   5.71   5.28   5.32
짝사랑하다          4.29   5.40   4.28   4.41
자족하다           4.01   3.97   5.11   3.89
찡하다            4.90   4.95   4.09   4.67
자책하다           3.82   4.40   2.24   4.20
착잡하다           4.17   4.50   2.83   2.83
재미있다*          5.70   6.19   5.72   4.79
참담하다*          4.03   4.25   1.52   3.26
적의             3.30   3.69   2.00   4.88
창피하다*          4.76   5.69   2.54   4.20
적적하다           3.89   3.69   2.94   3.35
처량하다           4.25   4.60   2.51   2.81
전전긍긍           3.34   4.13   2.70   4.39
처연하다           2.89   2.35   2.85   3.06
절망하다*          4.18   5.05   1.91   3.86
처절하다           3.97   4.69   1.89   4.35
절박감            4.13   4.52   2.27   5.28
처참하다           4.34   4.55   1.64   4.50
절절하다           3.36   3.15   2.69   4.15
체념하다           4.08   4.59   2.47   3.15
정감             4.97   4.31   5.56   3.44
초조하다*          4.67   5.43   2.74   4.88
정겹다*           5.27   5.23   5.56   4.02
충족감            4.26   4.58   5.27   4.15
측은하다           4.17   4.54   3.07   3.40
허탈하다           4.36   4.99   2.67   3.20
치떨리다           3.77   4.00   1.80   5.62
허허롭다           2.88   2.69   3.07   3.06
치욕스럽다          4.18   4.60   1.60   5.85
혐오하다           4.35   5.04   1.80   5.57
친애하다           3.95   4.22   4.96   4.04
호감             5.62   5.31   5.72   5.03
침울하다           3.67   4.03   2.03   2.85
혼비백산하다         3.44   3.79   2.32   5.98
침통하다           3.74   3.73   1.97   4.41
홀가분하다*         5.71   5.18   6.24   3.26
켕기다            3.66   4.05   2.59   4.49
화나다*           4.86   5.65   2.17   5.91
코웃음            3.34   4.69   2.86   3.92
환멸             3.49   3.34   1.71   5.62
쾌감             5.31   5.15   5.79   5.91
환희             4.50   4.70   5.72   5.54
태평스럽다          3.82   4.44   4.55   2.45
황공하다           3.51   3.67   4.25   4.57
토라지다           4.19   4.56   2.70   4.36
황당하다*          4.75   5.53   3.30   4.92
통분             2.91   2.50   2.52   5.51
황송하다           3.63   3.58   4.07   4.18
통쾌하다*          5.03   5.45   5.79   5.71
황홀하다*          5.30   5.18   5.72   5.14
통탄하다           3.62   3.16   1.83   5.36
회개             3.19   3.70   3.91   3.58
통한             3.12   3.05   2.16   4.94
회오             2.35   1.70   3.63   4.10
패배감            3.96   4.72   1.63   4.20
회한             3.28   3.42   2.49   4.41
편안하다*          5.47   5.95   5.40   2.33
후련하다           5.44   5.30   5.33   3.61
편하다            5.23   6.01   5.54   2.70
후회하다*          4.74   5.82   2.45   4.06
평안하다           4.80   4.78   5.63   2.06
흐뭇하다           5.26   5.46   5.48   3.85
평온하다           4.86   4.99   5.46   2.46
흠모하다           4.13   4.11   4.94   4.34
평화롭다*          4.95   5.36   5.62   2.24
흡족하다           4.90   4.90   5.77   4.14
풀죽다            3.66   4.25   2.50   2.69
흥겹다            5.52   5.09   5.72   5.50
한              3.86   4.43   2.35   4.67
흥나다            4.73   4.54   5.50   6.00
한맺히다*          4.01   4.43   1.60   5.09
흥미롭다           5.05   5.82   5.56   4.76
한스럽다           3.92   3.61   2.27   4.13
흥미진진하다         5.07   5.61   5.40   5.21
한탄하다           3.78   3.74   2.02   5.06
흥분             4.92   5.61   4.44   6.02
행복하다*          5.88   6.08   6.16   4.70
흥취             3.40   3.07   4.71   5.08
향수             4.29   4.54   4.99   2.56
희              3.65   3.22   5.21   4.61
허망하다           3.96   4.31   2.11   2.87
희비             3.76   4.08   3.80   4.61
허무하다*          4.40   5.29   2.28   2.92
희열             4.49   4.42   5.32   5.44
허전하다           4.51   5.27   2.91   2.53
희희낙락하다         4.16   4.17   4.71   4.80
